target,x,y
1.6530524455845538e-46,-3.0,-3.0
2.3625752340715105e-41,-2.877551020408163,-3.0
1.5955097441223207e-36,-2.7551020408163267,-3.0
5.091292796272134e-32,-2.63265306122449,-3.0
7.676645496725494e-28,-2.510204081632653,-3.0
5.469274193057588e-24,-2.387755102040816,-3.0
1.841207378391789e-20,-2.2653061224489797,-3.0
2.928805394007976e-17,-2.142857142857143,-3.0
2.2013704067202626e-14,-2.020408163265306,-3.0
7.818267599830595e-12,-1.8979591836734695,-3.0
1.3120268945463967e-09,-1.7755102040816326,-3.0
1.0403746053829774e-07,-1.653061224489796,-3.0
3.898087176289041e-06,-1.5306122448979593,-3.0
6.901256210065368e-05,-1.4081632653061225,-3.0
0.000577323922360126,-1.2857142857142858,-3.0
0.002282053150878782,-1.163265306122449,-3.0
0.004262326910706112,-1.0408163265306123,-3.0
0.0037616861386765375,-0.9183673469387754,-3.0
0.0015686771198368474,-0.795918367346939,-3.0
0.00030923186813130543,-0.6734693877551021,-3.0
3.4391292737778154e-05,-0.5510204081632653,-3.0
0.00011384721362451262,-0.4285714285714288,-3.0
0.001067165532352586,-0.30612244897959195,-3.0
0.004779599465426951,-0.18367346938775508,-3.0
0.010115251408536701,-0.06122448979591866,-3.0
0.010115251408536712,0.06122448979591821,-3.0
0.004779599465426951,0.18367346938775508,-3.0
0.001067165532352586,0.30612244897959195,-3.0
0.00011384721362451361,0.4285714285714284,-3.0
3.4391292737778154e-05,0.5510204081632653,-3.0
0.00030923186813130543,0.6734693877551021,-3.0
0.0015686771198368404,0.7959183673469385,-3.0
0.0037616861386765375,0.9183673469387754,-3.0
0.004262326910706116,1.0408163265306118,-3.0
0.002282053150878778,1.1632653061224492,-3.0
0.0005773239223601281,1.2857142857142856,-3.0
6.901256210065431e-05,1.408163265306122,-3.0
3.898087176289041e-06,1.5306122448979593,-3.0
1.040374605382983e-07,1.6530612244897958,-3.0
1.31202689454642e-09,1.7755102040816322,-3.0
7.818267599830595e-12,1.8979591836734695,-3.0
2.2013704067202626e-14,2.020408163265306,-3.0
2.928805394008038e-17,2.1428571428571423,-3.0
1.841207378391789e-20,2.2653061224489797,-3.0
5.469274193057588e-24,2.387755102040816,-3.0
7.676645496725767e-28,2.5102040816326525,-3.0
5.091292796272134e-32,2.63265306122449,-3.0
1.5955097441223885e-36,2.7551020408163263,-3.0
